,label,mpid,formula,chemsys,energy,shift,miller,top,0group,0period,0en,0upd,1group,1period,1en,1upd,2group,2period,2en,2upd,3group,3period,3en,3upd,4group,4period,4en,4upd,5group,5period,5en,5upd,6group,6period,6en,6upd,7group,7period,7en,7upd,8group,8period,8en,8upd,9group,9period,9en,9upd,10group,10period,10en,10upd,11group,11period,11en,11upd
68,0,mp-10032,Ge2Os,"['Ge', 'Os']",-0.002787345000003,0.09989871,20,0,14,4,2.01,0,10.06896551724138,4.689655172413793,1.9803448275862068,1.0689655172413792,10.06896551724138,4.689655172413793,1.9803448275862068,1.0689655172413792,10.06896551724138,4.689655172413793,1.9803448275862068,1.0689655172413792,14,4,2.01,0,14.0,4.0,2.01,0.0,8.0,6.0,2.2,4.0,8.0,6.0,2.2,4.0,10.06896551724138,4.689655172413793,1.9803448275862068,1.0689655172413792,10.06896551724138,4.689655172413793,1.9803448275862068,1.0689655172413792,10.06896551724138,4.689655172413793,1.9803448275862068,1.0689655172413792,10.06896551724138,4.689655172413793,1.9803448275862068,1.0689655172413792
69,0,mp-10032,Ge2Os,"['Ge', 'Os']",-0.8849038749999941,0.09989871,20,1,8,6,2.2,4,8.0,6.0,2.2,4.0,10.06896551724138,4.689655172413793,1.9803448275862068,1.0689655172413792,10.06896551724138,4.689655172413793,1.9803448275862068,1.0689655172413792,14,4,2.01,0,14.0,4.0,2.01,0.0,14.0,4.0,2.01,0.0,14.0,4.0,2.01,0.0,14.0,4.0,2.01,0.0,14.0,4.0,2.01,0.0,14.0,4.0,2.01,0.0,14.0,4.0,2.01,0.0
71,0,mp-10032,Ge2Os,"['Ge', 'Os']",0.063741934999993,0.09989871,20,0,14,4,2.01,0,10.06896551724138,4.689655172413793,1.9803448275862068,1.0689655172413792,10.06896551724138,4.689655172413793,1.9803448275862068,1.0689655172413792,10.06896551724138,4.689655172413793,1.9803448275862068,1.0689655172413792,14,4,2.01,0,14.0,4.0,2.01,0.0,14.0,4.0,2.01,0.0,8.0,6.0,2.2,4.0,10.06896551724138,4.689655172413793,1.9803448275862068,1.0689655172413792,10.06896551724138,4.689655172413793,1.9803448275862068,1.0689655172413792,10.06896551724138,4.689655172413793,1.9803448275862068,1.0689655172413792,10.06896551724138,4.689655172413793,1.9803448275862068,1.0689655172413792
73,0,mp-10032,Ge2Os,"['Ge', 'Os']",-0.9313304649999752,0.03961633,11,0,8,6,2.2,4,8.0,6.0,2.2,4.0,10.06896551724138,4.689655172413793,1.9803448275862068,1.0689655172413792,10.06896551724138,4.689655172413793,1.9803448275862068,1.0689655172413792,14,4,2.01,0,14.0,4.0,2.01,0.0,14.0,4.0,2.01,0.0,8.0,6.0,2.2,4.0,14.0,4.0,2.01,0.0,14.0,4.0,2.01,0.0,14.0,4.0,2.01,0.0,8.0,6.0,2.2,4.0
75,0,mp-10032,Ge2Os,"['Ge', 'Os']",0.255535295000013,0.039616329999999,11,1,14,4,2.01,0,14.0,4.0,2.01,0.0,10.06896551724138,4.689655172413793,1.9803448275862068,1.0689655172413792,10.06896551724138,4.689655172413793,1.9803448275862068,1.0689655172413792,14,4,2.01,0,14.0,4.0,2.01,0.0,14.0,4.0,2.01,0.0,14.0,4.0,2.01,0.0,14.0,4.0,2.01,0.0,14.0,4.0,2.01,0.0,14.0,4.0,2.01,0.0,14.0,4.0,2.01,0.0
76,0,mp-10032,Ge2Os,"['Ge', 'Os']",-0.8851604349999911,0.09989871,20,1,8,6,2.2,4,8.0,6.0,2.2,4.0,10.06896551724138,4.689655172413793,1.9803448275862068,1.0689655172413792,10.06896551724138,4.689655172413793,1.9803448275862068,1.0689655172413792,14,4,2.01,0,14.0,4.0,2.01,0.0,14.0,4.0,2.01,0.0,14.0,4.0,2.01,0.0,14.0,4.0,2.01,0.0,14.0,4.0,2.01,0.0,14.0,4.0,2.01,0.0,14.0,4.0,2.01,0.0
78,0,mp-10032,Ge2Os,"['Ge', 'Os']",0.885377385000024,0.039616329999999,11,1,14,4,2.01,0,10.06896551724138,4.689655172413793,1.9803448275862068,1.0689655172413792,10.06896551724138,4.689655172413793,1.9803448275862068,1.0689655172413792,10.06896551724138,4.689655172413793,1.9803448275862068,1.0689655172413792,14,4,2.01,0,14.0,4.0,2.01,0.0,14.0,4.0,2.01,0.0,14.0,4.0,2.01,0.0,14.0,4.0,2.01,0.0,8.0,6.0,2.2,4.0,10.06896551724138,4.689655172413793,1.9803448275862068,1.0689655172413792,10.06896551724138,4.689655172413793,1.9803448275862068,1.0689655172413792
80,0,mp-10032,Ge2Os,"['Ge', 'Os']",0.060217985000006,0.09989871,20,0,14,4,2.01,0,10.06896551724138,4.689655172413793,1.9803448275862068,1.0689655172413792,10.06896551724138,4.689655172413793,1.9803448275862068,1.0689655172413792,10.06896551724138,4.689655172413793,1.9803448275862068,1.0689655172413792,14,4,2.01,0,14.0,4.0,2.01,0.0,14.0,4.0,2.01,0.0,14.0,4.0,2.01,0.0,8.0,6.0,2.2,4.0,8.0,6.0,2.2,4.0,8.0,6.0,2.2,4.0,10.06896551724138,4.689655172413793,1.9803448275862068,1.0689655172413792
87,0,mp-10032,Ge2Os,"['Ge', 'Os']",0.249652845000011,0.039616329999999,11,1,14,4,2.01,0,10.06896551724138,4.689655172413793,1.9803448275862068,1.0689655172413792,10.06896551724138,4.689655172413793,1.9803448275862068,1.0689655172413792,10.06896551724138,4.689655172413793,1.9803448275862068,1.0689655172413792,14,4,2.01,0,14.0,4.0,2.01,0.0,14.0,4.0,2.01,0.0,8.0,6.0,2.2,4.0,10.06896551724138,4.689655172413793,1.9803448275862068,1.0689655172413792,10.06896551724138,4.689655172413793,1.9803448275862068,1.0689655172413792,10.06896551724138,4.689655172413793,1.9803448275862068,1.0689655172413792,10.06896551724138,4.689655172413793,1.9803448275862068,1.0689655172413792
88,0,mp-10032,Ge2Os,"['Ge', 'Os']",-0.640040685000004,0.09989871,20,1,8,6,2.2,4,8.0,6.0,2.2,4.0,10.06896551724138,4.689655172413793,1.9803448275862068,1.0689655172413792,10.06896551724138,4.689655172413793,1.9803448275862068,1.0689655172413792,14,4,2.01,0,14.0,4.0,2.01,0.0,14.0,4.0,2.01,0.0,14.0,4.0,2.01,0.0,14.0,4.0,2.01,0.0,14.0,4.0,2.01,0.0,14.0,4.0,2.01,0.0,14.0,4.0,2.01,0.0
